wnumber,firstname,lastname,email,major,course,termcode,city,state,zip
"W12502440","Kyra","Brennan","Kyra.Brennan684@mail.weber.edu","Computer Sci/Syst Integration","CS 4280","200910","Tooele","UT","84718"
"W12502440","Kyra","Brennan","Kyra.Brennan684@mail.weber.edu","Computer Sci/Syst Integration","CS 2450","200910","Tooele","UT","84718"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3230","200820","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","MGMT 2400","200830","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3540","200710","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3250","200510","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3250","200920","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3040","201030","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 1010","200710","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 2800","200620","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3705","200920","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4830","201030","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4750","200920","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3250","200610","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 2650","200820","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4650","200810","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4730","200530","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4640","200920","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3730","200710","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4890","200720","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 4820","200710","West Bountiful","UT","84139"
"W10693519","Makena","Watson","Makena.Watson779@mail.weber.edu","Non-Degree Seeking","CS 3210","200920","West Bountiful","UT","84139"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4820","201110","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4780","201030","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4280","200830","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4650","201110","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 2920","201110","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 2140","200830","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4110","200810","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 3730","200630","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 3550","200920","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 4830","200910","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 3750","201020","Honeyville","UT","84640"
"W17977132","Sarahi","Decker","Sarahi.Decker713@mail.weber.edu","Computer Sci/Customized","CS 2140","200920","Honeyville","UT","84640"
